customer_id,age,gender,subscription_type,watch_hours,last_login_days,region,device,monthly_fee,churned,payment_method,number_of_profiles,avg_watch_time_per_day,favorite_genre
A9B75100-82A8-427A-A208-72F24052884A,51,Other,Basic,14.73,29,Africa,Tv,8.99,1,Gift Card,1,0.49,Action
49A5Dfd9-7E69-4022-A6Ad-0A1B9767Fb5B,47,Other,Standard,0.7,19,Europe,Mobile,13.99,1,Gift Card,5,0.03,Sci-Fi
4D71F6Ce-Fca9-4Ff7-8Afa-197Ac24De14B,27,Female,Standard,16.32,10,Asia,Tv,13.99,0,Crypto,2,1.48,Drama
D3C72C38-631B-4F9E-8A0E-De103Cad1A7D,53,Other,Premium,4.51,12,Oceania,Tv,17.99,1,Crypto,2,0.35,Horror
4E265C34-103A-4Dbb-9553-76C9Aa47E946,56,Other,Standard,1.89,13,Africa,Mobile,13.99,1,Crypto,2,0.13,Action
D8079475-5Be7-47E9-8782-Ceb7Ff61395E,58,Female,Standard,13.8,26,Oceania,Mobile,13.99,0,Debit Card,3,0.51,Action
8E63450A-13D6-4E83-Bbb5-6Aebde9152Cb,48,Other,Basic,13.83,20,Asia,Tv,8.99,0,Gift Card,5,0.66,Romance
02387681-8C42-462A-807A-De0168C73B38,51,Male,Basic,14.3,56,Europe,Mobile,8.99,1,Gift Card,1,0.25,Action
0Bcaad0C-545C-4Ee1-85A6-75E165F39361,45,Other,Basic,9.98,10,Asia,Mobile,8.99,0,Paypal,3,0.91,Romance
Eae6439E-8Cdf-4258-Ab49-C493925B927A,32,Other,Premium,2.22,34,Europe,Tv,17.99,1,Debit Card,1,0.06,Drama
45A03Ce3-26D0-4Cd5-A9Bd-22D42490B612,26,Male,Premium,15.42,36,Asia,Laptop,17.99,0,Debit Card,4,0.42,Comedy
9Df43Ad1-D6Ee-44D0-A79B-C8Ab444F10Bf,28,Other,Standard,22.26,38,South America,Mobile,13.99,0,Crypto,5,0.57,Horror
