Index,Product ID,Product Title,Raw Description,Brand,Category,Target Language
1,THsF3Hb4Nw,Smart Mouse,,,Kids' Clothing,Dutch
2,Qp36MbWq66,Portable Heater,,,Men's Clothing,Portuguese
3,Wzsztpgvcw,Smart Kettle Brush Fan Smart Lite,,,Smartphones,Spanish
4,NTj5SQfhaN,Ultra Blender Scale Wireless Smart Premium,,,Men's Clothing,Italian
5,IpnN3NeUj6,Ultra Watch,,,Books & Stationery,Portuguese
6,GkdHziodiQ,Portable Powerbank Scooter,,,Women's Clothing,French
7,7Yzzvfculi,Ultra Speaker Powerbank Camera,,,Smartphones,Portuguese
8,fEU3dMsGzK,Clean Treadmill,,,Sports & Outdoors,Portuguese
9,nIPpXmD4HE,Fast Cooker Cooler Automatic 360,360.0,,Smartphones,French
10,GISNw6UfNl,Rechargeable Lamp Freezer Automatic Edge Touch,,,Skincare,Dutch
11,6NTDssBzaw,Advanced Grill Charger Headphones Pro Silent Edge,,,Kitchen Appliances,Portuguese
12,LiAYvJowJR,Premium Microphone Clock Edge Silent,,,Cameras & Accessories,Italian
13,2wDapLYXTO,Eco Thermostat Trimmer Mini 360 Compact,360.0,,Smartphones,Spanish
14,vvpOFhFLDg,Digital Lock Lamp,,,Beauty & Personal Care,Italian
15,QBdeJ6bixI,Projector Oven Thermostat,,,Grooming Tools,Dutch
16,2fAEt3OiuJ,Clean Lock Thermostat,,,Women's Clothing,Dutch
17,1YYM8D7OsR,Ultra Light X Compact,,,Books & Stationery,Spanish
18,kAU5Vw7ANz,Mini Radio,,,Fitness Equipment,Italian
19,JCamEUWOB0,Router,,,Team Sports,German
20,8txC2kUCWQ,Smart Fan Ultra Touch Rechargeable,,,Haircare,Portuguese
21,dfGwz5qQka,Automatic Monitor Cooler Dock,,,Laptops & Computers,Spanish
22,xL3vW9b7id,Fast Mixer Heater Edge,,,Sports & Outdoors,German
23,S8j6OlhyUJ,Keyboard Phone Scanner,,,Beauty & Personal Care,Spanish
24,EnoKGGMXLJ,Wireless Powerbank Scooter,,,Camping & Hiking,Spanish
25,rNLuuEEtlN,Toaster Scooter,,,Fitness Equipment,German
26,QcKSIN1QfH,Pro Toaster,,,Headphones & Earbuds,Portuguese
27,9TPvOdNv4R,Pro Stove Monitor Tablet,,,Haircare,French
28,GHv4mMcGPj,Projector,,,Kids' Clothing,Dutch
29,75eJ4kK8F6,Toaster Scanner,,,Automotive,French
30,1QYK1klV21,Premium Treadmill Dock,,,Grooming Tools,French
31,IO6clX8chr,Rechargeable Fan,,,Makeup,Dutch
32,EC4i2LRPL1,Smart Mixer Premium One,,,Haircare,Dutch
33,rxDxis3kc1,Smart Cooker Cooler,,,Automotive,German
34,q4Oo3Uq7kQ,Clean Bicycle Clock Lamp One 360,360.0,,Health & Wellness,Portuguese
35,sXV3zuvtX6,Smart Mouse Speaker Cooler,,,Fragrances,Portuguese
36,ZBbIer3zmY,Rechargeable Phone Grill Smart Pro Automatic,,,Laptops & Computers,Portuguese
37,HAqxrk7xvl,Advanced Scale Headphones 360 Clean Eco,360.0,,Home Decor,German
38,gmcFI2yDia,Phone Grill,,,Home Decor,German
39,ehx9y97NOI,Silent Clock Brush Portable,,,Makeup,Spanish
40,uzQnxW50hO,Portable Speakerphone Mixer Portable,,,Smartwatches,Italian
41,2NDnIHFuRx,Mixer Bicycle Fridge,,,Women's Clothing,Portuguese
42,JBSSEyqJCp,Fast Speakerphone,,,Beauty & Personal Care,Italian
43,G6kjG3wyBh,Pro Freezer Mixer Lock,,,Bedding & Bath,Portuguese
44,kB1IW1Ptne,Fast Thermostat Camera Watch Prime Wireless,,,Automotive,German
45,HaqWQr2uxh,Scanner Shaver Powerbank,,,Sports & Outdoors,French
46,r9on96e5F2,Fast Mixer Drone Fan Eco Rechargeable,,,Skincare,Portuguese
47,WrGKpGIHRZ,Ultra Brush Go Advanced,,,Beauty & Personal Care,German
48,8tjtUUFQ0h,Pro Kettle One Automatic,,,Camping & Hiking,Italian
49,qUXmmAkhoa,Rechargeable Heater Silent,,,Home & Kitchen,Dutch
50,qrB1it3LGM,Ultra Cooler Eco Go Smart,,,Furniture,French
51,nQrBVbe52U,Fridge Fan Lamp,,,Men's Clothing,Spanish
52,CfWMBWU4PG,Brush,,,Furniture,German
53,li41q5KRmo,Shaver,,,Books & Stationery,Italian
54,fZhXdJM0O4,Eco Speakerphone Oven,,,Health & Wellness,Dutch
55,iJBROnw8od,Cooler,,,Kids' Clothing,Italian
56,4CdqaVgDm6,Digital Lamp Speakerphone Headphones Wireless,,,Office Supplies,Italian
57,ALY593FWHP,Headphones,,,Men's Clothing,French
58,tHNxXsrMWi,Ultra Thermostat Silent Silent,,,Fitness Equipment,German
59,heRGd1BiQU,Compact Powerbank Pro Compact,,,Women's Clothing,German
60,ccw9nZGSSO,Ultra Grill Grill Scale Rechargeable Sense,,,Fishing & Hunting,Spanish
61,e134xuzAyN,Wireless Keyboard Fast Prime,,,Shoes & Footwear,Portuguese
62,m8C0wxBwvy,Projector Oven Thermostat,,,Home Decor,Spanish
63,hVuMmtHLSd,Smart Oven Scale Max Silent Rechargeable,,,Fitness Equipment,Italian
64,VQtpa4CUaJ,Mini Thermostat Digital Clean Edge,,,Grooming Tools,Spanish
65,wzihsByrbk,Smart Stove Light Mini,,,Sports & Outdoors,Spanish
66,ZHaDdmAcVL,Speaker Tablet Headphones,,,Bedding & Bath,Spanish
67,03Bl5irx9n,Clean Camera Treadmill Heater Go One,,,Haircare,French
68,zOhH9tWxsp,Advanced Trimmer Stove Portable 360 Touch,360.0,,Health & Wellness,Spanish
69,mMIrt5Vxqz,Headphones,,,Skincare,Italian
70,LWEt0HKuhZ,Smart Powerbank Scooter Smart Max Digital,,,Clothing & Apparel,German
71,Wmc2b4n6ew,Ultra Fan Iron Clock Compact Silent Air,,,Laptops & Computers,French
72,tmuSJfPa2W,Automatic Stove Blender Oven,,,Laptops & Computers,German
73,6OUIi12ozJ,Watch,,,Laptops & Computers,Portuguese
74,2s6nzt8FnB,Clock,,,Team Sports,Spanish
75,zFIlQm3Tkq,Smart Lamp Blender Drone,,,Home Decor,Portuguese
76,Psg93BFJdl,Silent Lamp Lamp Kettle Automatic Go Max,,,Bedding & Bath,Italian
77,wQkIUhiZEE,Portable Vacuum Printer Wireless Max,,,Automotive,Portuguese
78,jIFyeNEUtY,Clean Treadmill,,,Laptops & Computers,Portuguese
79,h1jufEHbbN,Silent Lamp Lamp,,,Automotive,German
80,M1nWMGCirA,Shaver,,,Fragrances,German
81,LclfbfpTze,Rechargeable Radio Bicycle Cooler Wireless Touch Fast,,,Office Supplies,Spanish
82,NwQ2TfwMKl,Fast Vacuum Router Toaster Premium Max Digital,,,Beauty & Personal Care,Dutch
83,n5mSuR0UEo,Smart Fridge Freezer Lite,,,Furniture,French
84,SFAqf8IxOA,Silent Scale Lite Prime,,,Headphones & Earbuds,German
85,4UrCJtXqQh,Wireless Lock Advanced Premium,,,Men's Clothing,German
86,ikgTfcCEkY,Digital Dock Powerbank Speaker Ultra,,,Team Sports,Portuguese
87,NgjVEhVDyK,Automatic Shaver 360 Advanced Edge,360.0,,Bedding & Bath,Dutch
88,TrG3gDVb25,Smart Freezer Prime,,,Bedding & Bath,Portuguese
89,dRHu0zH2Sz,Smart Speakerphone Oven Prime Ultra Max,,,Cycling,Italian
90,ILJDOcV6HO,Fast Shaver Air,,,Books & Stationery,Italian
91,H991bbXDC7,Automatic Bicycle Scooter,,,Clothing & Apparel,French
92,vJawAjKZCH,Ultra Mixer Router Phone,,,Office Supplies,German
93,MLVLqzxlTK,Wireless Webcam Trimmer Projector Mini Digital,,,Kids' Clothing,German
94,jWzRLMr6QL,Wireless Dock Mixer Router,,,Fragrances,Italian
95,itu1VIBcO7,Advanced Camera Wireless Mini,,,Kitchen Appliances,Portuguese
96,l3o4QExJZc,Ultra Headphones,,,Clothing & Apparel,German
97,K3Nfvdutv7,Automatic Drone Vacuum,,,Fragrances,Dutch
98,KvPazOZ8Xv,Ultra Speaker Keyboard Eco Lite,,,Sports & Outdoors,Dutch
99,kwbpJd25mX,Grill Grill Scale,,,Sports & Outdoors,German
100,Mt4ppfqjMV,Smart Cooler Silent X Mini,,,Cycling,Italian
