show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in
S1,Movie,Dick Johnson Is Dead,Kirsten Johnson,United States,2021-09-25,2020,Pg-13,90 Min,Documentaries
S3,Tv Show,Ganglands,Julien Leclercq,France,2021-09-24,2021,Tv-Ma,1 Season,"Crime Tv Shows, International Tv Shows, Tv Action & Adventure"
S6,Tv Show,Midnight Mass,Mike Flanagan,United States,2021-09-24,2021,Tv-Ma,1 Season,"Tv Dramas, Tv Horror, Tv Mysteries"
S14,Movie,Confessions Of An Invisible Girl,Bruno Garotti,Brazil,2021-09-22,2021,Tv-Pg,91 Min,"Children & Family Movies, Comedies"
S8,Movie,Sankofa,Haile Gerima,United States,2021-09-24,1993,Tv-Ma,125 Min,"Dramas, Independent Movies, International Movies"
S9,Tv Show,The Great British Baking Show,Andy Devonshire,United Kingdom,2021-09-24,2021,Tv-14,9 Seasons,"British Tv Shows, Reality Tv"
S10,Movie,The Starling,Theodore Melfi,United States,2021-09-24,2021,Pg-13,104 Min,"Comedies, Dramas"
S939,Movie,Motu Patlu In The Game Of Zones,Suhas Kadav,India,2021-05-01,2019,Tv-Y7,87 Min,"Children & Family Movies, Comedies, Music & Musicals"
S13,Movie,Je Suis Karl,Christian Schwochow,Germany,2021-09-23,2021,Tv-Ma,127 Min,"Dramas, International Movies"
S940,Movie,Motu Patlu In Wonderland,Suhas Kadav,India,2021-05-01,2013,Tv-Y7,76 Min,"Children & Family Movies, Music & Musicals"
S941,Movie,Motu Patlu: Deep Sea Adventure,Suhas Kadav,India,2021-05-01,2014,Tv-Y7,76 Min,"Children & Family Movies, Comedies"
S942,Movie,Motu Patlu: Mission Moon,Suhas Kadav,India,2021-05-01,2013,Tv-Y7,71 Min,"Children & Family Movies, Comedies"
S852,Movie,99 Songs (Tamil),Not Given,Pakistan,2021-05-21,2021,Tv-14,131 Min,"Dramas, International Movies, Music & Musicals"
S471,Movie,Bridgerton - The Afterparty,"Krysia Plonka, Kristian Mercado",United States,2021-07-13,2021,Tv-14,39 Min,Movies
S730,Movie,Bling Empire - The Afterparty,"Krysia Plonka, Kristian Mercado",United States,2021-06-12,2021,Tv-Ma,36 Min,Movies
S731,Movie,Cobra Kai - The Afterparty,"Krysia Plonka, Kristian Mercado",United States,2021-06-12,2021,Tv-Ma,34 Min,Movies
S913,Movie,The Circle - The Afterparty,"Krysia Plonka, Kristian Mercado",United States,2021-05-07,2021,Tv-14,35 Min,Comedies
S4,Tv Show,Jailbirds New Orleans,Not Given,Pakistan,2021-09-24,2021,Tv-Ma,1 Season,"Docuseries, Reality Tv"
S15,Tv Show,Crime Stories: India Detectives,Not Given,Pakistan,2021-09-22,2021,Tv-Ma,1 Season,"British Tv Shows, Crime Tv Shows, Docuseries"
S3232,Movie,True: Winter Wishes,"Mark Thornton, Todd Kauffman",United States,2019-11-26,2019,Tv-Y,46 Min,Children & Family Movies
S4832,Tv Show,True: Magical Friends,"Mark Thornton, Todd Kauffman",United States,2018-06-15,2018,Tv-Y,1 Season,Kids' Tv
