age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
30,Unemployed,Married,Primary,No,1787,No,No,Cellular,19,1900-10-01,79,1,-1,0,Unknown,No
33,Services,Married,Secondary,No,4789,Yes,Yes,Cellular,11,1900-05-01,220,1,339,4,Failure,No
35,Management,Single,Tertiary,No,1350,Yes,No,Cellular,16,1900-04-01,185,1,330,1,Failure,No
30,Management,Married,Tertiary,No,1476,Yes,Yes,Unknown,3,1900-06-01,199,4,-1,0,Unknown,No
59,Blue-Collar,Married,Secondary,No,0,Yes,No,Unknown,5,1900-05-01,226,1,-1,0,Unknown,No
35,Management,Single,Tertiary,No,747,No,No,Cellular,23,1900-02-01,141,2,176,3,Failure,No
36,Self-Employed,Married,Tertiary,No,307,Yes,No,Cellular,14,1900-05-01,341,1,330,2,Other,No
39,Technician,Married,Secondary,No,147,Yes,No,Cellular,6,1900-05-01,151,2,-1,0,Unknown,No
41,Entrepreneur,Married,Tertiary,No,221,Yes,No,Unknown,14,1900-05-01,57,2,-1,0,Unknown,No
43,Services,Married,Primary,No,-88,Yes,Yes,Cellular,17,1900-04-01,313,1,147,2,Failure,No
39,Services,Married,Secondary,No,9374,Yes,No,Unknown,20,1900-05-01,273,1,-1,0,Unknown,No
43,Admin.,Married,Secondary,No,264,Yes,No,Cellular,17,1900-04-01,113,2,-1,0,Unknown,No
36,Technician,Married,Tertiary,No,1109,No,No,Cellular,13,1900-08-01,328,2,-1,0,Unknown,No
20,Student,Single,Secondary,No,502,No,No,Cellular,30,1900-04-01,261,1,-1,0,Unknown,Yes
31,Blue-Collar,Married,Secondary,No,360,Yes,Yes,Cellular,29,1900-01-01,89,1,241,1,Failure,No
40,Management,Married,Tertiary,No,194,No,Yes,Cellular,29,1900-08-01,189,2,-1,0,Unknown,No
56,Technician,Married,Secondary,No,4073,No,No,Cellular,27,1900-08-01,239,5,-1,0,Unknown,No
37,Admin.,Single,Tertiary,No,2317,Yes,No,Cellular,20,1900-04-01,114,1,152,2,Failure,No
25,Blue-Collar,Single,Primary,No,-221,Yes,No,Unknown,23,1900-05-01,250,1,-1,0,Unknown,No
31,Services,Married,Secondary,No,132,No,No,Cellular,7,1900-07-01,148,1,152,1,Other,No
38,Management,Divorced,Unknown,No,0,Yes,No,Cellular,18,1900-11-01,96,2,-1,0,Unknown,No
42,Management,Divorced,Tertiary,No,16,No,No,Cellular,19,1900-11-01,140,3,-1,0,Unknown,No
44,Services,Single,Secondary,No,106,No,No,Unknown,12,1900-06-01,109,2,-1,0,Unknown,No
44,Entrepreneur,Married,Secondary,No,93,No,No,Cellular,7,1900-07-01,125,2,-1,0,Unknown,No
26,Housemaid,Married,Tertiary,No,543,No,No,Cellular,30,1900-01-01,169,3,-1,0,Unknown,No
41,Management,Married,Tertiary,No,5883,No,No,Cellular,20,1900-11-01,182,2,-1,0,Unknown,No
55,Blue-Collar,Married,Primary,No,627,Yes,No,Unknown,5,1900-05-01,247,1,-1,0,Unknown,No
67,Retired,Married,Unknown,No,696,No,No,Telephone,17,1900-08-01,119,1,105,2,Failure,No
56,Self-Employed,Married,Secondary,No,784,No,Yes,Cellular,30,1900-07-01,149,2,-1,0,Unknown,No
53,Admin.,Married,Secondary,No,105,No,Yes,Cellular,21,1900-08-01,74,2,-1,0,Unknown,No
68,Retired,Divorced,Secondary,No,4189,No,No,Telephone,14,1900-07-01,897,2,-1,0,Unknown,Yes
31,Technician,Married,Secondary,No,171,No,No,Cellular,27,1900-08-01,81,3,-1,0,Unknown,No
59,Management,Married,Secondary,No,42,No,No,Cellular,21,1900-11-01,40,1,-1,0,Unknown,No
32,Management,Single,Tertiary,No,2536,Yes,No,Cellular,26,1900-08-01,958,6,-1,0,Unknown,Yes
49,Technician,Married,Tertiary,No,1235,No,No,Cellular,13,1900-08-01,354,3,-1,0,Unknown,Yes
42,Admin.,Divorced,Secondary,No,1811,Yes,No,Unknown,14,1900-05-01,150,1,-1,0,Unknown,No
78,Retired,Divorced,Primary,No,229,No,No,Telephone,22,1900-10-01,97,1,-1,0,Unknown,Yes
32,Blue-Collar,Married,Secondary,No,2089,Yes,No,Cellular,14,1900-11-01,132,1,-1,0,Unknown,Yes
33,Management,Married,Secondary,No,3935,Yes,No,Cellular,6,1900-05-01,765,1,342,2,Failure,Yes
23,Services,Single,Tertiary,No,363,Yes,No,Unknown,30,1900-05-01,16,18,-1,0,Unknown,No
38,Management,Single,Tertiary,No,11971,Yes,No,Unknown,17,1900-11-01,609,2,101,3,Failure,No
