Index,Review ID,Product Name,Rating,Review Text
1,7wqddskxrw,smart clock lock,3,
2,mtkltwg22m,portable watch microphone microphone,3,
3,9xsynntkpz,mini phone scooter,2,
4,vuouk11isi,shaver blender,3,
5,b3rfuovrvj,mixer grill,4,
6,pe2dhckl7j,speakerphone scanner monitor,5,
7,zjmazxyl87,advanced microphone lamp speaker smart,1,
8,v0etewkh78,wireless toaster scooter eco,3,
9,vw8x0hnqn1,smart printer advanced,5,
10,ugdas8jhmn,smart phone,2,
11,aaj3o3kqny,digital heater sense advanced,3,
12,79ctwba1bd,watch thermostat,3,
13,nsjo9z5v7h,radio iron,4,
14,m5t9kjjfnu,automatic microphone portable premium fast,1,
15,nvnkvdqszn,silent dock mixer router prime,5,
16,db8pwabj4z,speakerphone mixer,5,
17,248zkl3vkm,smart keyboard phone scanner go edge,5,
18,yd1brjjwig,advanced printer,2,
19,jluawittnf,smart tablet powerbank blender sense,4,
20,1uvs7nboid,silent phone iron speakerphone go automatic portable,5,
21,fxqt1fw506,advanced thermostat oven,3,
22,evog3kobmd,ultra radio light fan portable touch,5,
23,rpqojmgseu,premium projector,2,
24,4rhuefamoq,digital watch thermostat automatic smart,3,
25,nmtoyjtzgk,fan lamp,1,
26,hqnyy1gew6,webcam printer,3,
27,k6wcshujsg,advanced mouse ultra,2,
28,h7vzlcufqi,mixer drone fan,5,
29,fwezhha0c9,ultra fridge clean,3,
30,snkaybq836,thermostat oven,5,
31,zhxp6fjwq8,clean shaver thermostat,2,
32,5x7k9jud47,eco printer rechargeable pro,2,
33,g9fuwv4jgf,iron,4,
34,pna469el83,automatic tablet air smart,3,
35,aajyjfr3si,silent treadmill clean,2,
36,ushgtfe3ah,dock,3,
37,buy91ubha3,wireless scale stove,3,
38,b1j5dhtin5,ultra speaker iron grill premium clean,1,
39,vm32xlwab6,portable brush touch,1,
40,5kjtslryqa,silent fan iron clock,5,
41,bf7fd8ma37,thermostat,3,
42,rn4vray7pe,printer freezer,3,
43,kdthqtz5kp,radio,3,
44,wjjxtviq0g,wireless scale trimmer grill digital air,3,
45,dl5xnytll0,clean dock dock trimmer advanced x,2,
46,jvlackw380,iron monitor,2,
47,nuvju7mfxg,mini cooker wireless smart,3,
48,3tougynmld,silent router one go x,5,
49,rmqi6gxcec,smart drone vacuum portable,5,
50,9ek6kv9oti,smart heater cooker wireless,3,
51,cxvdxxztiq,scale headphones,3,
52,reiajlhx0o,projector brush,4,
53,9ycrgtcehy,portable monitor brush monitor clean,2,
54,2uhgrxydhe,webcam bicycle camera,4,
55,eisjtsdo6v,cooler,4,
56,qrywtltgik,mini bicycle lock fan smart,3,
57,jgyedrkzck,grill microphone projector,1,
58,chqfxgm8gw,wireless camera keyboard 360 premium air,2,
59,hqpqis6asf,portable camera bicycle speakerphone,1,
60,wgpvosp2db,drone printer tablet,4,
61,5xrz1obmrz,automatic tablet,1,
62,d4borsv9uk,automatic radio advanced digital,1,
63,kj60qriwwq,iron drone,2,
64,q0cfk2ap9o,speakerphone scanner monitor,2,
65,lrmmzifqa6,clean scale trimmer grill max touch smart,4,
66,apmfx7alwt,ultra brush mini,3,
67,ofpey2te68,wireless keyboard toaster monitor touch premium premium,3,
68,ce4kjsrk1f,digital toaster smart smart,4,
69,etnbwdfn9m,eco heater x max,5,
70,qxkhrbhxqk,compact thermostat speaker clean portable,3,
71,yqomsqakzj,smart drone,4,
72,ajmbguuvtr,digital grill brush watch,4,
73,tdvshcdfsi,wireless scale trimmer grill,5,
74,jlr8l9kkqf,mini monitor cooler dock,3,
75,vbjflyeqm0,clock,3,
76,sad87umbfj,pro lamp speakerphone headphones 360 air,5,
77,ky1efyhkn7,fast brush portable fast 360,5,
78,riyp1gvxcl,charger,3,
79,xiw6rln4th,portable lock,3,
80,9ylcriwtuy,pro scooter scale cooler sense,3,
81,iptkltcgyb,fast fan lamp,5,
82,z4nlv2a1qq,fast light,5,
83,tpwr5b1xsu,drone,3,
84,h1vym6kgq2,router,3,
85,hv3oy6gles,charger cooker thermostat,1,
86,wkknqqyfzj,mini oven,3,
87,h13lsvihff,automatic charger tablet brush advanced premium,3,
88,snjagwbs3k,pro monitor brush monitor pro plus,2,
89,qvshvjnt7t,advanced mixer vacuum,4,
90,zjwiukw115,pro freezer advanced,5,
91,rvscxeq1bv,fast scanner tablet radio edge pro,5,
92,ppqtiusk3m,clean mixer vacuum clean one lite,1,
93,34cpv7vrb4,fast thermostat trimmer rechargeable go ultra,3,
94,k6fq731swa,eco charger monitor brush,4,
95,hgf3o5bfrw,smart camera treadmill heater sense x,2,
96,qyt6z2mgcw,mixer vacuum,4,
97,z2uac1v8eu,fast webcam,3,
98,txcuzr51aq,silent webcam webcam stove sense pro ultra,5,
99,vxkbct4uij,smart webcam trimmer projector fast clean smart,5,
100,yckwtzcna6,wireless keyboard speakerphone fan compact x,5,
