age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,date
30,Unemployed,Married,Primary,No,1787,No,No,Cellular,19,Oct,79,1,-1,0,Unknown,No,2023-10-19
33,Services,Married,Secondary,No,4789,Yes,Yes,Cellular,11,May,220,1,339,4,Failure,No,2023-05-11
35,Management,Single,Tertiary,No,1350,Yes,No,Cellular,16,Apr,185,1,330,1,Failure,No,2023-04-16
30,Management,Married,Tertiary,No,1476,Yes,Yes,Unknown,3,Jun,199,4,-1,0,Unknown,No,2023-06-03
59,Blue-Collar,Married,Secondary,No,0,Yes,No,Unknown,5,May,226,1,-1,0,Unknown,No,2023-05-05
35,Management,Single,Tertiary,No,747,No,No,Cellular,23,Feb,141,2,176,3,Failure,No,2023-02-23
36,Self-Employed,Married,Tertiary,No,307,Yes,No,Cellular,14,May,341,1,330,2,Other,No,2023-05-14
39,Technician,Married,Secondary,No,147,Yes,No,Cellular,6,May,151,2,-1,0,Unknown,No,2023-05-06
41,Entrepreneur,Married,Tertiary,No,221,Yes,No,Unknown,14,May,57,2,-1,0,Unknown,No,2023-05-14
43,Services,Married,Primary,No,-88,Yes,Yes,Cellular,17,Apr,313,1,147,2,Failure,No,2023-04-17
39,Services,Married,Secondary,No,9374,Yes,No,Unknown,20,May,273,1,-1,0,Unknown,No,2023-05-20
43,Admin.,Married,Secondary,No,264,Yes,No,Cellular,17,Apr,113,2,-1,0,Unknown,No,2023-04-17
36,Technician,Married,Tertiary,No,1109,No,No,Cellular,13,Aug,328,2,-1,0,Unknown,No,2023-08-13
20,Student,Single,Secondary,No,502,No,No,Cellular,30,Apr,261,1,-1,0,Unknown,Yes,2023-04-30
31,Blue-Collar,Married,Secondary,No,360,Yes,Yes,Cellular,29,Jan,89,1,241,1,Failure,No,2023-01-29
40,Management,Married,Tertiary,No,194,No,Yes,Cellular,29,Aug,189,2,-1,0,Unknown,No,2023-08-29
