Index,Product ID,Product Title,Raw Description,Brand,Category,Target Language
1,Thsf3Hb4Nw,Smart Mouse,,,Kids' Clothing,Dutch
2,Qp36Mbwq66,Portable Heater,,,Men'S Clothing,Portuguese
3,Wzsztpgvcw,Smart Kettle Brush Fan Smart Lite,,,Smartphones,Spanish
4,Ntj5Sqfhan,Ultra Blender Scale Wireless Smart Premium,,,Men'S Clothing,Italian
5,Ipnn3Neuj6,Ultra Watch,,,Books & Stationery,Portuguese
6,Gkdhziodiq,Portable Powerbank Scooter,,,Women'S Clothing,French
7,7Yzzvfculi,Ultra Speaker Powerbank Camera,,,Smartphones,Portuguese
8,Feu3Dmsgzk,Clean Treadmill,,,Sports & Outdoors,Portuguese
9,Nippxmd4He,Fast Cooker Cooler Automatic 360,360.0,,Smartphones,French
10,Gisnw6Ufnl,Rechargeable Lamp Freezer Automatic Edge Touch,,,Skincare,Dutch
11,6Ntdssbzaw,Advanced Grill Charger Headphones Pro Silent Edge,,,Kitchen Appliances,Portuguese
12,Liayvjowjr,Premium Microphone Clock Edge Silent,,,Cameras & Accessories,Italian
13,2Wdaplyxto,Eco Thermostat Trimmer Mini 360 Compact,360.0,,Smartphones,Spanish
14,Vvpofhfldg,Digital Lock Lamp,,,Beauty & Personal Care,Italian
15,Qbdej6Bixi,Projector Oven Thermostat,,,Grooming Tools,Dutch
16,2Faet3Oiuj,Clean Lock Thermostat,,,Women'S Clothing,Dutch
17,1Yym8D7Osr,Ultra Light X Compact,,,Books & Stationery,Spanish
18,Kau5Vw7Anz,Mini Radio,,,Fitness Equipment,Italian
19,Jcameuwob0,Router,,,Team Sports,German
20,8Txc2Kucwq,Smart Fan Ultra Touch Rechargeable,,,Haircare,Portuguese
21,Dfgwz5Qqka,Automatic Monitor Cooler Dock,,,Laptops & Computers,Spanish
22,Xl3Vw9B7Id,Fast Mixer Heater Edge,,,Sports & Outdoors,German
23,S8J6Olhyuj,Keyboard Phone Scanner,,,Beauty & Personal Care,Spanish
24,Enokggmxlj,Wireless Powerbank Scooter,,,Camping & Hiking,Spanish
25,Rnluueetln,Toaster Scooter,,,Fitness Equipment,German
26,Qcksin1Qfh,Pro Toaster,,,Headphones & Earbuds,Portuguese
27,9Tpvodnv4R,Pro Stove Monitor Tablet,,,Haircare,French
28,Ghv4Mmcgpj,Projector,,,Kids' Clothing,Dutch
29,75Ej4Kk8F6,Toaster Scanner,,,Automotive,French
30,1Qyk1Klv21,Premium Treadmill Dock,,,Grooming Tools,French
31,Io6Clx8Chr,Rechargeable Fan,,,Makeup,Dutch
32,Ec4I2Lrpl1,Smart Mixer Premium One,,,Haircare,Dutch
33,Rxdxis3Kc1,Smart Cooker Cooler,,,Automotive,German
34,Q4Oo3Uq7Kq,Clean Bicycle Clock Lamp One 360,360.0,,Health & Wellness,Portuguese
35,Sxv3Zuvtx6,Smart Mouse Speaker Cooler,,,Fragrances,Portuguese
36,Zbbier3Zmy,Rechargeable Phone Grill Smart Pro Automatic,,,Laptops & Computers,Portuguese
37,Haqxrk7Xvl,Advanced Scale Headphones 360 Clean Eco,360.0,,Home Decor,German
38,Gmcfi2Ydia,Phone Grill,,,Home Decor,German
39,Ehx9Y97Noi,Silent Clock Brush Portable,,,Makeup,Spanish
40,Uzqnxw50Ho,Portable Speakerphone Mixer Portable,,,Smartwatches,Italian
41,2Ndnihfurx,Mixer Bicycle Fridge,,,Women'S Clothing,Portuguese
42,Jbsseyqjcp,Fast Speakerphone,,,Beauty & Personal Care,Italian
43,G6Kjg3Wybh,Pro Freezer Mixer Lock,,,Bedding & Bath,Portuguese
44,Kb1Iw1Ptne,Fast Thermostat Camera Watch Prime Wireless,,,Automotive,German
45,Haqwqr2Uxh,Scanner Shaver Powerbank,,,Sports & Outdoors,French
46,R9On96E5F2,Fast Mixer Drone Fan Eco Rechargeable,,,Skincare,Portuguese
47,Wrgkpgihrz,Ultra Brush Go Advanced,,,Beauty & Personal Care,German
48,8Tjtuufq0H,Pro Kettle One Automatic,,,Camping & Hiking,Italian
49,Quxmmakhoa,Rechargeable Heater Silent,,,Home & Kitchen,Dutch
50,Qrb1It3Lgm,Ultra Cooler Eco Go Smart,,,Furniture,French
51,Nqrbvbe52U,Fridge Fan Lamp,,,Men'S Clothing,Spanish
52,Cfwmbwu4Pg,Brush,,,Furniture,German
53,Li41Q5Krmo,Shaver,,,Books & Stationery,Italian
54,Fzhxdjm0O4,Eco Speakerphone Oven,,,Health & Wellness,Dutch
55,Ijbronw8Od,Cooler,,,Kids' Clothing,Italian
56,4Cdqavgdm6,Digital Lamp Speakerphone Headphones Wireless,,,Office Supplies,Italian
57,Aly593Fwhp,Headphones,,,Men'S Clothing,French
58,Thnxxsrmwi,Ultra Thermostat Silent Silent,,,Fitness Equipment,German
59,Hergd1Biqu,Compact Powerbank Pro Compact,,,Women'S Clothing,German
60,Ccw9Nzgsso,Ultra Grill Grill Scale Rechargeable Sense,,,Fishing & Hunting,Spanish
61,E134Xuzayn,Wireless Keyboard Fast Prime,,,Shoes & Footwear,Portuguese
62,M8C0Wxbwvy,Projector Oven Thermostat,,,Home Decor,Spanish
63,Hvummthlsd,Smart Oven Scale Max Silent Rechargeable,,,Fitness Equipment,Italian
64,Vqtpa4Cuaj,Mini Thermostat Digital Clean Edge,,,Grooming Tools,Spanish
65,Wzihsbyrbk,Smart Stove Light Mini,,,Sports & Outdoors,Spanish
66,Zhaddmacvl,Speaker Tablet Headphones,,,Bedding & Bath,Spanish
67,03Bl5Irx9N,Clean Camera Treadmill Heater Go One,,,Haircare,French
68,Zohh9Twxsp,Advanced Trimmer Stove Portable 360 Touch,360.0,,Health & Wellness,Spanish
69,Mmirt5Vxqz,Headphones,,,Skincare,Italian
70,Lwet0Hkuhz,Smart Powerbank Scooter Smart Max Digital,,,Clothing & Apparel,German
71,Wmc2B4N6Ew,Ultra Fan Iron Clock Compact Silent Air,,,Laptops & Computers,French
72,Tmusjfpa2W,Automatic Stove Blender Oven,,,Laptops & Computers,German
73,6Ouii12Ozj,Watch,,,Laptops & Computers,Portuguese
74,2S6Nzt8Fnb,Clock,,,Team Sports,Spanish
75,Zfilqm3Tkq,Smart Lamp Blender Drone,,,Home Decor,Portuguese
76,Psg93Bfjdl,Silent Lamp Lamp Kettle Automatic Go Max,,,Bedding & Bath,Italian
77,Wqkiuhizee,Portable Vacuum Printer Wireless Max,,,Automotive,Portuguese
78,Jifyeneuty,Clean Treadmill,,,Laptops & Computers,Portuguese
79,H1Jufehbbn,Silent Lamp Lamp,,,Automotive,German
80,M1Nwmgcira,Shaver,,,Fragrances,German
81,Lclfbfptze,Rechargeable Radio Bicycle Cooler Wireless Touch Fast,,,Office Supplies,Spanish
82,Nwq2Tfwmkl,Fast Vacuum Router Toaster Premium Max Digital,,,Beauty & Personal Care,Dutch
83,N5Msur0Ueo,Smart Fridge Freezer Lite,,,Furniture,French
84,Sfaqf8Ixoa,Silent Scale Lite Prime,,,Headphones & Earbuds,German
85,4Urcjtxqqh,Wireless Lock Advanced Premium,,,Men'S Clothing,German
86,Ikgtfcceky,Digital Dock Powerbank Speaker Ultra,,,Team Sports,Portuguese
87,Ngjvehvdyk,Automatic Shaver 360 Advanced Edge,360.0,,Bedding & Bath,Dutch
88,Trg3Gdvb25,Smart Freezer Prime,,,Bedding & Bath,Portuguese
89,Drhu0Zh2Sz,Smart Speakerphone Oven Prime Ultra Max,,,Cycling,Italian
90,Iljdocv6Ho,Fast Shaver Air,,,Books & Stationery,Italian
91,H991Bbxdc7,Automatic Bicycle Scooter,,,Clothing & Apparel,French
92,Vjawajkzch,Ultra Mixer Router Phone,,,Office Supplies,German
93,Mlvlqzxltk,Wireless Webcam Trimmer Projector Mini Digital,,,Kids' Clothing,German
94,Jwzrlmr6Ql,Wireless Dock Mixer Router,,,Fragrances,Italian
95,Itu1Vibco7,Advanced Camera Wireless Mini,,,Kitchen Appliances,Portuguese
96,L3O4Qexjzc,Ultra Headphones,,,Clothing & Apparel,German
97,K3Nfvdutv7,Automatic Drone Vacuum,,,Fragrances,Dutch
98,Kvpazoz8Xv,Ultra Speaker Keyboard Eco Lite,,,Sports & Outdoors,Dutch
99,Kwbpjd25Mx,Grill Grill Scale,,,Sports & Outdoors,German
100,Mt4Ppfqjmv,Smart Cooler Silent X Mini,,,Cycling,Italian
