Country Code,Country Name,Year,Age Group,Sex,Number of Deaths,"Death Rate Per 100,000"
Afg,Afghanistan,1970,0-6 Days,Male,19241,318292.9
Afg,Afghanistan,1970,0-6 Days,Female,12600,219544.2
Afg,Afghanistan,1970,0-6 Days,Both,31840,270200.7
Afg,Afghanistan,1970,7-27 Days,Male,15939,92701.0
Afg,Afghanistan,1970,7-27 Days,Female,11287,68594.5
Afg,Afghanistan,1970,7-27 Days,Both,27226,80912.5
Afg,Afghanistan,1970,28-364 Days,Male,37513,15040.1
Afg,Afghanistan,1970,28-364 Days,Female,32113,13411.8
Afg,Afghanistan,1970,28-364 Days,Both,69626,14242.6
Afg,Afghanistan,1970,1-4 Years,Male,36694,4288.2
Afg,Afghanistan,1970,1-4 Years,Female,32848,4022.9
Afg,Afghanistan,1970,1-4 Years,Both,69542,4158.6
Afg,Afghanistan,1970,5-9 Years,Male,3467,396.2
Afg,Afghanistan,1970,5-9 Years,Female,2492,306.0
Afg,Afghanistan,1970,5-9 Years,Both,5959,352.7
Afg,Afghanistan,1970,10-14 Years,Male,1723,230.8
Afg,Afghanistan,1970,10-14 Years,Female,1806,262.3
Afg,Afghanistan,1970,10-14 Years,Both,3529,245.9
Afg,Afghanistan,1970,15-19 Years,Male,1816,282.9
Afg,Afghanistan,1970,15-19 Years,Female,1902,324.7
Afg,Afghanistan,1970,15-19 Years,Both,3718,302.8
Afg,Afghanistan,1970,20-24 Years,Male,2240,392.9
Afg,Afghanistan,1970,20-24 Years,Female,2630,508.4
Afg,Afghanistan,1970,20-24 Years,Both,4870,447.9
Afg,Afghanistan,1970,25-29 Years,Male,2050,432.4
Afg,Afghanistan,1970,25-29 Years,Female,2889,673.7
Afg,Afghanistan,1970,25-29 Years,Both,4939,547.0
Afg,Afghanistan,1970,30-34 Years,Male,2038,510.1
Afg,Afghanistan,1970,30-34 Years,Female,2799,779.0
Afg,Afghanistan,1970,30-34 Years,Both,4838,637.4
Afg,Afghanistan,1970,35-39 Years,Male,2242,670.0
Afg,Afghanistan,1970,35-39 Years,Female,3358,1117.1
Afg,Afghanistan,1970,35-39 Years,Both,5600,881.6
Afg,Afghanistan,1970,40-44 Years,Male,2528,918.4
Afg,Afghanistan,1970,40-44 Years,Female,2908,1163.3
Afg,Afghanistan,1970,40-44 Years,Both,5437,1035.0
Afg,Afghanistan,1970,45-49 Years,Male,2993,1343.3
Afg,Afghanistan,1970,45-49 Years,Female,2909,1405.4
Afg,Afghanistan,1970,45-49 Years,Both,5902,1373.2
Afg,Afghanistan,1970,50-54 Years,Male,3569,2016.0
Afg,Afghanistan,1970,50-54 Years,Female,3300,1950.9
Afg,Afghanistan,1970,50-54 Years,Both,6870,1984.2
Afg,Afghanistan,1970,55-59 Years,Male,3911,2862.9
Afg,Afghanistan,1970,55-59 Years,Female,3532,2624.8
Afg,Afghanistan,1970,55-59 Years,Both,7443,2744.7
Afg,Afghanistan,1970,60-64 Years,Male,4239,4229.2
Afg,Afghanistan,1970,60-64 Years,Female,4514,4449.7
Afg,Afghanistan,1970,60-64 Years,Both,8752,4340.1
Afg,Afghanistan,1970,65-69 Years,Male,3968,5870.4
Afg,Afghanistan,1970,65-69 Years,Female,4580,6528.5
Afg,Afghanistan,1970,65-69 Years,Both,8547,6205.6
Afg,Afghanistan,1970,70-74 Years,Male,3435,8509.7
Afg,Afghanistan,1970,70-74 Years,Female,4404,10276.8
Afg,Afghanistan,1970,70-74 Years,Both,7839,9419.7
Afg,Afghanistan,1970,75-79 Years,Male,2374,12048.4
Afg,Afghanistan,1970,75-79 Years,Female,3129,14608.5
Afg,Afghanistan,1970,75-79 Years,Both,5503,13381.8
Afg,Afghanistan,1970,80+ Years,Male,1676,18534.8
Afg,Afghanistan,1970,80+ Years,Female,2180,21197.1
Afg,Afghanistan,1970,80+ Years,Both,3856,19951.4
Afg,Afghanistan,1970,All Ages,Male,153656,2470.8
Afg,Afghanistan,1970,All Ages,Female,138181,2390.8
Afg,Afghanistan,1970,All Ages,Both,291837,2432.3
Afg,Afghanistan,1980,0-6 Days,Male,16152,235901.0
