job_ID,job,location,company_id,company_name,work_type,full_time_remote,no_of_employ,no_of_application,posted_day_ago,alumni,Hiring_person,linkedin_followers,hiring_person_link,job_details
3471657636,"Data Analyst, Trilogy (Remote) - $60,000/Year Usd","Delhi, Delhi, India",,Crossover,Remote,Full-Time · Associate,"1,001-5,000 Employees · It Services And It Consulting",200,8 Hours,12 Company Alumni,Unknown,"5,395,547 Followers",Unknown,"About The Job Crossover Is The World'S #1 Source Of Full-Time Remote Jobs. Our Clients Offer Top-Tier Pay For Top-Tier Talent. We'Re Recruiting This Role For Our Client, Trilogy. Have You Got What It Takes? Are You Looking For An Entry-Level Role In The Software Industry That Will Give You The Skills And Exposure To Move Into Any Speciality Later? We’Re Looking For Curious Individuals Who Love Searching For Meaningful Answers. In This Role, You’Ll Be Given A Business Problem And Will Scour The Internet For Possible Solutions. The Problems Will Come From Every Area Of Our Business: Operations, Finance, Hiring, Engineering, And More - Giving You Broad Exposure. Not Only Will You Gain Knowledge, You’Ll Receive Regular Coaching And Training From A Team Of Global Tech Experts And Operations Professionals. Jumpstart Your Career With Us Today! What You Will Be Doing Research A Variety Of High-Priority Topics That Are Critical To The Businessevaluate Results Against Provided Evaluation Criteria What You Won’T Be Doing Researching The Same Topics Repeatedlyworking On Loosely-Scoped Research With Desired Outputs Not Clearly Definedgetting Lost Chasing Tangentially-Related Solutions; Our Systems And Processes Will Help You Focus Your Research And Optimize Your Time Data Analyst Key Responsibilities Provide High-Quality Research Data To Support Company-Wide Business Decisions Basic Requirements Excellent Written And Verbal Communication Skillsbasic Financial Analysis Skillsability To Work In The Us Timezone About Trilogy Hundreds Of Software Businesses Run On The Trilogy Business Platform. For Three Decades, Trilogy Has Been Known For 3 Things: Relentlessly Seeking Top Talent, Innovating New Technology, And Incubating New Businesses. Our Technological Innovation Is Spearheaded By A Passion For Simple Customer-Facing Designs. Our Incubation Of New Businesses Ranges From Entirely New Moon-Shot Ideas To Rearchitecting Existing Projects For Today'S Modern Cloud-Based Stack. Trilogy Is A Place Where You Can Be Surrounded With Great People, Be Proud Of Doing Great Work, And Grow Your Career By Leaps And Bounds. There Is So Much To Cover For This Exciting Role, And Space Here Is Limited. Hit The Apply Button If You Found This Interesting And Want To Learn More. We Look Forward To Meeting You! Working With Crossover This Is A Full-Time (40 Hours Per Week), Long-Term Position. The Position Is Immediately Available And Requires Entering Into An Independent Contractor Agreement With Crossover. The Compensation Level For This Role Is $30 Usd/Hour, Which Equates To $60,000 Usd/Year Assuming 40 Hours Per Week And 50 Weeks Per Year. The Payment Period Is Weekly. Consult Www.Crossover.Com/Help-And-Faqs For More Details On This Topic. What To Expect Next: You Will Receive An Email With A Link To Start Your Self-Paced, Online Job Application.Our Hiring Platform Will Guide You Through A Series Of Online “Screening” Assessments To Check For Basic Job Fit, Job-Related Skills, And Finally A Few Real-World Job-Specific Assignments. Important! If You Do Not Receive An Email From Us: First, Emails May Take Up To 15 Minutes To Send, Refresh And Check Again.Second, Check Your Spam And Junk Folders For An Email From Crossover.Com, Mark As “Not Spam” Since You Will Receive Other Emails As Well.Third, We Will Send To Whatever Email Account You Indicated On The Apply Form - By Default, That Is The Email Address You Use As Your Linkedin Username And It Might Be Different Than The One You Have Already Checked.If All Else Fails, Just Reset Your Password By Visiting Https://Www.Crossover.Com/Auth/Password-Recovery If You Already Applied Using Linkedin Easyapply. Crossover Job Code: Lj-4718-In-Delhi-Dataanalyst.004"
3471669068,"Data Analyst, Trilogy (Remote) - $60,000/Year Usd","New Delhi, Delhi, India",,Crossover,Remote,Full-Time · Associate,"1,001-5,000 Employees · It Services And It Consulting",184,8 Hours,12 Company Alumni,Unknown,"5,395,547 Followers",Unknown,"About The Job Crossover Is The World'S #1 Source Of Full-Time Remote Jobs. Our Clients Offer Top-Tier Pay For Top-Tier Talent. We'Re Recruiting This Role For Our Client, Trilogy. Have You Got What It Takes? Are You Looking For An Entry-Level Role In The Software Industry That Will Give You The Skills And Exposure To Move Into Any Speciality Later? We’Re Looking For Curious Individuals Who Love Searching For Meaningful Answers. In This Role, You’Ll Be Given A Business Problem And Will Scour The Internet For Possible Solutions. The Problems Will Come From Every Area Of Our Business: Operations, Finance, Hiring, Engineering, And More - Giving You Broad Exposure. Not Only Will You Gain Knowledge, You’Ll Receive Regular Coaching And Training From A Team Of Global Tech Experts And Operations Professionals. Jumpstart Your Career With Us Today! What You Will Be Doing Research A Variety Of High-Priority Topics That Are Critical To The Businessevaluate Results Against Provided Evaluation Criteria What You Won’T Be Doing Researching The Same Topics Repeatedlyworking On Loosely-Scoped Research With Desired Outputs Not Clearly Definedgetting Lost Chasing Tangentially-Related Solutions; Our Systems And Processes Will Help You Focus Your Research And Optimize Your Time Data Analyst Key Responsibilities Provide High-Quality Research Data To Support Company-Wide Business Decisions Basic Requirements Excellent Written And Verbal Communication Skillsbasic Financial Analysis Skillsability To Work In The Us Timezone About Trilogy Hundreds Of Software Businesses Run On The Trilogy Business Platform. For Three Decades, Trilogy Has Been Known For 3 Things: Relentlessly Seeking Top Talent, Innovating New Technology, And Incubating New Businesses. Our Technological Innovation Is Spearheaded By A Passion For Simple Customer-Facing Designs. Our Incubation Of New Businesses Ranges From Entirely New Moon-Shot Ideas To Rearchitecting Existing Projects For Today'S Modern Cloud-Based Stack. Trilogy Is A Place Where You Can Be Surrounded With Great People, Be Proud Of Doing Great Work, And Grow Your Career By Leaps And Bounds. There Is So Much To Cover For This Exciting Role, And Space Here Is Limited. Hit The Apply Button If You Found This Interesting And Want To Learn More. We Look Forward To Meeting You! Working With Crossover This Is A Full-Time (40 Hours Per Week), Long-Term Position. The Position Is Immediately Available And Requires Entering Into An Independent Contractor Agreement With Crossover. The Compensation Level For This Role Is $30 Usd/Hour, Which Equates To $60,000 Usd/Year Assuming 40 Hours Per Week And 50 Weeks Per Year. The Payment Period Is Weekly. Consult Www.Crossover.Com/Help-And-Faqs For More Details On This Topic. What To Expect Next: You Will Receive An Email With A Link To Start Your Self-Paced, Online Job Application.Our Hiring Platform Will Guide You Through A Series Of Online “Screening” Assessments To Check For Basic Job Fit, Job-Related Skills, And Finally A Few Real-World Job-Specific Assignments. Important! If You Do Not Receive An Email From Us: First, Emails May Take Up To 15 Minutes To Send, Refresh And Check Again.Second, Check Your Spam And Junk Folders For An Email From Crossover.Com, Mark As “Not Spam” Since You Will Receive Other Emails As Well.Third, We Will Send To Whatever Email Account You Indicated On The Apply Form - By Default, That Is The Email Address You Use As Your Linkedin Username And It Might Be Different Than The One You Have Already Checked.If All Else Fails, Just Reset Your Password By Visiting Https://Www.Crossover.Com/Auth/Password-Recovery If You Already Applied Using Linkedin Easyapply. Crossover Job Code: Lj-4718-In-Newdelhi-Dataanalyst.017"
3474349934,Data Analyst - Wfh,Greater Bengaluru Area,,Uplers,Remote,Full-Time · Mid-Senior Level,"1,001-5,000 Employees · It Services And It Consulting",200,9 Hours,3 Company Alumni,Shahid Ahmad,Unknown,Https://Www.Linkedin.Com/In/Shahid-Ahmad-A26130177,"About The Job Profile: Ml Engineersexperience: 3+ Yearslocation: Permanent Remote What Is Uplers Talent Network?Uplers Talent Network Is A Place Where Top Talents Meet The Right Opportunities. It Is A Platform For Every Candidate Looking For A Perfect Opportunity To Work With Global Companies On A Contractual Basis. Our Talent Network Is A Place For Top Indian Talents Who Can Benefit From The Platform And Gain Access To Global Career Exposure. With Us, You'Ll Get The Support, Guidance, And Opportunities That You Need To Take Your Career To The Next Level. So, If You'Re Ready To Embark On The Journey Of Your Next Challenge, We'Re Ready To Be Your Engine! Contractual Positiona Contractual Position Usually Requires You To Sign And Agree To The Terms Of A Contract Before You Begin Working. This Structure Can Offer A Variety Of Commitments That Allow You To Refine Established Skills And Create New Ones. Uplers Talent Network Brings Contractual Positions With Benefits Like:✔ Higher Pay Than Industry Standards✔ Full-Time Position✔ Ability To Gain Different Skills In A Short Period✔ Control Over Your Career Perks Of Joining Uplers Talent Network:Talent Success Coach: Get Connected With A Dedicated Coach To Guide You Before, During As Well As After Your Assignments With Our Clients.Payout: Get Paid In Global Currencies And Earn More Than Industry Standards.Opportunity: Work With International Companies And Get Global Exposure With Exciting Projects.Mobility: Work From The Comfort Of Your Living Room Couch Or Even A Breezy Beach. How To Become A Part Of Our Talent Network?Create Your Own Profile To Get Selected By Our Global Clientsfill Out The Application Formclear The 3-Stage Assessment Processbecome A Uplers Certified Talent What Are We Looking For:We Are Looking For A Highly Capable Machine Learning Engineer To Optimize Our Machine Learning Systems. You Will Be Evaluating Existing Machine Learning (Ml) Processes, Performing Statistical Analysis To Resolve Data Set Problems, And Enhancing The Accuracy Of Our Ai Software'S Predictive Automation Capabilities. To Ensure Success As A Machine Learning Engineer, You Should Demonstrate Solid Data Science Knowledge And Experience In A Related Ml Role. A First-Class Machine Learning Engineer Will Be Someone Whose Expertise Translates Into The Enhanced Performance Of Predictive Automation Software. Roles & Responsibilities:To Research, Modify, And Apply Data Science And Data Analytics Prototypes.To Create And Construct Methods And Plans For Machine Learningemploying Test Findings To Do Statistical Analysis And Improve Modelsto Search The Internet For Training Datasets That Are Readily Availableml Systems And Models Should Be Trained And Retrained As Necessaryto Improve And Broaden Current Ml Frameworks And Librariesto Create Machine Learning Applications In Accordance With Client Or Customer Needsto Investigate, Test, And Put Into Practice Appropriate Ml Tools And Algorithms.To Evaluate The Application Cases And Problem-Solving Potential Of Ml Algorithms And Rank Them According To Success Likelihoodto Better Comprehend Data Through Exploration And Visualization, As Well As To Spot Discrepancies In Data Distribution That Might Affect A Model’S Effectiveness When Used In Practical Situations Primary Skills:Data Modellingnatural Language Processing - Word2Vec, Sentiment Analysis, Summarization, Gensim, And Nltkunix & Linux Serversprogramming Languages - C, C++, Python And Javaspark And Hadoop Requirements:Advanced Math And Statistics Knowledge, Particularly In The Areas Of Calculus, Linear Algebra, And Bayesian Statisticsadvanced Degree In Math, Computer Science, Statistics Or A Related Fielda Master’S Degree In Artificial Intelligence, Deep Learning, Or A Related Disciplinestrong Teamwork, Problem-Solving, And Analytical Skills.Abilities In Software Engineeringknowledge Of Data Sciencelanguages For Coding And Programming, Such As Python, Java, C++, C, R, And Javascriptpractical Understanding Of Ml Frameworkspractical Familiarity With Ml Libraries And Packagesrecognize Software Architecture, Data Modeling, And Data Structuresunderstanding Of Computer Architecture Uplift With Uplersuplers Believe In Connecting People. Being A People-First Organization, Uplers Constantly Strives For Individuals Who Won'T Just Keep Up, But Break New Ground. Helping You Find What’S Next Is What We’Re All About. It Doesn'T Surprise Us That We Are Growing And Becoming One Of The Most Popular Companies In The Industry. All Set To Enter The #Worldofawesomeness?Hit The Apply Button!"
3472816027,Data Analyst,"Gurugram, Haryana, India",,Pvar Services,On-Site,Full-Time,1-10 Employees,200,7 Hours,Unknown,Vartika Singh,"2,094 Followers",Https://Www.Linkedin.Com/In/Vartika-Singh-,"About The Job Designation: Data Analystlocation: Gurgaonsalary: 3- 4 Lpawork Hours: 9:30 Am - 6:30 Pmqualification: Graduation/Post Graduationexperience: 1+ Years Company Brief:This Company Is A B2B Managed Marketplace In The Textile Industry That Aims To Improve The Supply Chain From Design To Delivery. You Strive To Provide Transparency And Visibility To Customers By Controlling The Supply Chain And Tracking Fabric Processing. Series A Funded. Key Responsibilities : 1.Collecting And Analyzing Large Data Sets From Multiple Sources. 2. Cleaning And Transforming Data To Ensure Accuracy And Consistency. 3. Building And Maintaining Databases And Data Systems. 4. Creating Visualizations And Reports To Effectively Communicate Findings And Insights To Stakeholders. 5. Using Statistical Models And Machine Learning Techniques To Identify Patterns And Trends In Data. 6. Providing Recommendations Based On Data Analysis To Support Decision-Making. 7. Collaborating With Cross-Functional Teams And Stakeholders To Understand Business Requirements And Develop Solutions. 8. Staying Up-To-Date With New Data Analysis Tools And Technologies. A Data Analyst Should Have A Strong Background In Statistics, Mathematics, And Computer Science, As Well As Proficiency In Data Analysis Tools Such As Sql, R, And Python. Additionally, Strong Analytical And Problem-Solving Skills, As Well As Excellent Communication And Collaboration Skills, Are Essential For Success In This Role."
3473311511,Data Analyst,"Mohali District, Punjab, India",,Timeline Freight Brokers,On-Site,Full-Time,1-10 Employees,8,26 Minutes,1 Company Alumni,Manisha (Gisele Smith),Unknown,Https://Www.Linkedin.Com/In/Manisharathore0029,"About The Job The Ideal Candidate Will Use Their Passion For Big Data And Analytics To Provide Insights To The Business Covering A Range Of Topics. They Will Be Responsible For Conducting Both Recurring And Ad Hoc Analysis For Business Users. Responsibilities• Use Statistical Methods To Analyze Data And Generate Useful Business Reports• Work With Management Team To Create A Prioritized List Of Needs For Each Business Segment• Identify And Recommend New Ways To Save Money By Streamlining Business Processes• Use Data To Create Models That Depict Trends In The Customer Base And The Consumer Population As A Whole• Work With Departmental Managers To Outline The Specific Data Needs For Each Business Method Analysis Project Qualificationsbachelor'S Or Master'S Degree In Statistics Or Applied Mathematics Or Equivalent Experience1 - 2 Years' Data Analysis Experienceproficient In Sql Job Types: Fresher, Full-Time, Regular / Permanent Schedule:• Evening Shift• Night Shift Ability To Commute/Relocate:• Mohali, Mohali - 160055, Punjab: Reliably Commute Or Planning To Relocate Before Starting Work."
3472504479,Data Analyst,"Gurugram, Haryana, India",,Airtel,On-Site,Full-Time · Entry Level,"10,001+ Employees · Telecommunications",200,10 Hours,132 Company Alumni,Unknown,"972,657 Followers",Unknown,"About The Job The Ideal Candidate Will Use Their Passion For Big Data And Analytics To Provide Insights To The Business Covering A Range Of Topics. They Will Be Responsible For Conducting Both Recurring And Ad Hoc Analysis For Business Users.Develop An In-Depth Understanding Of User Journeys On Airtel Digital Platforms And Generate Data Driven Insights & Recommendations To Help Product Business In Meticulous Decision Making. Responsibilities: - Understand The Day-To-Day Issues That Our Business Faces, Which Can Be Better Understood With Data. Compile And Analyse Data Related To Business' Issuesdevelop Clear Visualizations To Convey Complicated Data In A Straightforward Fashion.Strong Problem Solving Skills. Should Be Able To Engage Senior Management With Data.Experience In Working On Large Datasets Is A Must. Key Competencies: - Knowledge Of Databases - Ms Excel, Google Sheet, Sql, Hadoop & Ms Access. Familiar With Hadoop Eco System & Dartsdata Analytics / Visualization Tools - Tableau, R-Visualization Lib'S, Ms Office Suite & Power Bi Ability To Be Hands-On As Needed. Qualifications: -Bachelor'S Degree Or Equivalent. Experience: -1 - 2 Years' Analysis Experience."
3471658510,"Data Analyst, Trilogy (Remote) - $60,000/Year Usd","Bengaluru, Karnataka, India",,Crossover,Remote,Full-Time · Associate,"1,001-5,000 Employees · It Services And It Consulting",200,8 Hours,12 Company Alumni,Unknown,"5,395,546 Followers",Unknown,"About The Job Crossover Is The World'S #1 Source Of Full-Time Remote Jobs. Our Clients Offer Top-Tier Pay For Top-Tier Talent. We'Re Recruiting This Role For Our Client, Trilogy. Have You Got What It Takes? Are You Looking For An Entry-Level Role In The Software Industry That Will Give You The Skills And Exposure To Move Into Any Speciality Later? We’Re Looking For Curious Individuals Who Love Searching For Meaningful Answers. In This Role, You’Ll Be Given A Business Problem And Will Scour The Internet For Possible Solutions. The Problems Will Come From Every Area Of Our Business: Operations, Finance, Hiring, Engineering, And More - Giving You Broad Exposure. Not Only Will You Gain Knowledge, You’Ll Receive Regular Coaching And Training From A Team Of Global Tech Experts And Operations Professionals. Jumpstart Your Career With Us Today! What You Will Be Doing Research A Variety Of High-Priority Topics That Are Critical To The Businessevaluate Results Against Provided Evaluation Criteria What You Won’T Be Doing Researching The Same Topics Repeatedlyworking On Loosely-Scoped Research With Desired Outputs Not Clearly Definedgetting Lost Chasing Tangentially-Related Solutions; Our Systems And Processes Will Help You Focus Your Research And Optimize Your Time Data Analyst Key Responsibilities Provide High-Quality Research Data To Support Company-Wide Business Decisions Basic Requirements Excellent Written And Verbal Communication Skillsbasic Financial Analysis Skillsability To Work In The Us Timezone About Trilogy Hundreds Of Software Businesses Run On The Trilogy Business Platform. For Three Decades, Trilogy Has Been Known For 3 Things: Relentlessly Seeking Top Talent, Innovating New Technology, And Incubating New Businesses. Our Technological Innovation Is Spearheaded By A Passion For Simple Customer-Facing Designs. Our Incubation Of New Businesses Ranges From Entirely New Moon-Shot Ideas To Rearchitecting Existing Projects For Today'S Modern Cloud-Based Stack. Trilogy Is A Place Where You Can Be Surrounded With Great People, Be Proud Of Doing Great Work, And Grow Your Career By Leaps And Bounds. There Is So Much To Cover For This Exciting Role, And Space Here Is Limited. Hit The Apply Button If You Found This Interesting And Want To Learn More. We Look Forward To Meeting You! Working With Crossover This Is A Full-Time (40 Hours Per Week), Long-Term Position. The Position Is Immediately Available And Requires Entering Into An Independent Contractor Agreement With Crossover. The Compensation Level For This Role Is $30 Usd/Hour, Which Equates To $60,000 Usd/Year Assuming 40 Hours Per Week And 50 Weeks Per Year. The Payment Period Is Weekly. Consult Www.Crossover.Com/Help-And-Faqs For More Details On This Topic. What To Expect Next: You Will Receive An Email With A Link To Start Your Self-Paced, Online Job Application.Our Hiring Platform Will Guide You Through A Series Of Online “Screening” Assessments To Check For Basic Job Fit, Job-Related Skills, And Finally A Few Real-World Job-Specific Assignments. Important! If You Do Not Receive An Email From Us: First, Emails May Take Up To 15 Minutes To Send, Refresh And Check Again.Second, Check Your Spam And Junk Folders For An Email From Crossover.Com, Mark As “Not Spam” Since You Will Receive Other Emails As Well.Third, We Will Send To Whatever Email Account You Indicated On The Apply Form - By Default, That Is The Email Address You Use As Your Linkedin Username And It Might Be Different Than The One You Have Already Checked.If All Else Fails, Just Reset Your Password By Visiting Https://Www.Crossover.Com/Auth/Password-Recovery If You Already Applied Using Linkedin Easyapply. Crossover Job Code: Lj-4718-In-Bengalur-Dataanalyst.016"
3472808738,Shopify Developer,"Delhi, India",,Digital Impressions,On-Site,Full-Time,51-200 Employees,2,7 Hours,1 Company Alumni,Rashmi Aggarwal,"1,045 Followers",Https://Www.Linkedin.Com/In/Aggarwal-Rashmi,"About The Job The Ideal Candidate Will Be Responsible For Conceptualizing And Executing Clear, Quality Code To Develop The Best Software. You Will Test Your Code, Identify Errors, And Iterate To Ensure Quality Code. You Will Also Support Our Customers And Partners By Troubleshooting Any Of Their Software Issues. Roles And Responsibilities-Competent In Shopify App Development And Shopify Apps Architecture.-Proficient Knowledge Of Shopify Liquid Code And Its Advanced Concepts.-Candidate Should Have The Expertise To Design, Develop, Test, And Deploy Solutions Based On The Industry’S Best Practices As Per Organizational Requirements.-Expertise In Theme Integration, Customization, Html/Css, Scss, Mysql, Ajax, Js, Jquery, Third-Party Api Integrations.-Good Knowledge Of The Latest Design Tools And A Good Understanding Of Ui/Ux Concepts. Requirements-2+ Years Of Experience As A Shopify Developer.-Expert In Shopify Theme Development And Customization.-Expertise In Html5, Css3 And Javascript-Understanding Of Cross-Browser Compatibility Issues And Responsive Web Design Techniques.-Hands On Experience In Integrating Api/Web Services.-Working Knowledge Of Seo Optimization. Good To Have-Understanding Of Concepts Of Dev Ops.-Experience With Shopify Plus Store Development."
3475061559,Database Developer,"Gurugram, Haryana, India",,Kline & Company,Hybrid,Full-Time,201-500 Employees,7,25 Minutes,Unknown,Duncan Lawie,"30,319 Followers",Https://Www.Linkedin.Com/In/Duncan-Lawie,"About The Job Are You An Experienced Microsoft Transact-Sql Looking For A New Challenge?Do You Have Experience In Designing Normalized Database Schemas, Working From Existing Business Data?Are You Ready To Be Part Of A Global Team Interacting With Technical And Business Colleagues In Europe, Asia, Africa And America? It Would Be Great If You Had Experience With .Net Core, Too. And We Use Agile Approaches To Plan And Deliver Our Work ... And Our Standard Hours Are 12:00 To 20:00 Ist (Although We Expect You Can Usually Work Remotely). If That All Sounds Good, Kline & Company Offers A World-Class International Work Environment; A Dynamic, Multi-Cultural Team And Collegial Work Atmosphere; Everyday, Practical Use Of English And Valuable Work Experience With A Well-Established Consulting And Market Research Firm; And A Competitive Compensation And Benefits Package In A Supportive Work Environment. So, Please Share Your Cv - And A Few Other Details - And We Look Forward To Chatting."
3473336242,Shopify Developer,"Gurugram, Haryana, India",,Adesignguy,Hybrid,Unknown,Unknown,Minutes,9 Minutes,Unknown,Unknown,"2,163 Followers",Unknown,"About The Job Job Title: Shopify Developer (Internship) Company: Adesignguy Location: Gurgaon, Haryana Duration: 3 Months (With Possibility Of Full-Time Offer) We Are Seeking A Talented And Motivated Shopify Developer To Join Our Team At Adesignguy. Our Company Has Worked With Some Of The Best Youtubers To Provide Custom Shopify Solutions, And We Are Now Looking To Expand Our Team. Responsibilities:Develop Custom Shopify Themes And Pluginsdebug And Fix Bugs In Existing Projectscollaborate With The Design Team To Ensure Seamless Integration Between Design And Functionalitykeep Up To Date With The Latest Shopify Trends And Best Practices Requirements:Strong Knowledge Of Shopify Platform And Its Liquid Template Languageexperience With Reactjsfamiliarity With Html, Css, And Javascriptexcellent Problem-Solving Skills And Attention To Detailability To Work Independently And As Part Of A Team This Is A Fantastic Opportunity For Someone Looking To Gain Valuable Experience And Build Their Skills In A Fast-Paced, Creative Environment. If You Are Passionate About Shopify Development And Have A Drive To Learn And Grow, We Would Love To Hear From You. Please Apply With Your Resume And A Brief Cover Letter Highlighting Your Relevant Experience."
